問題No,難易度,問題,選択肢1,選択肢2,選択肢3,選択肢4,正解,コメント
D-1,D,"この会の正式名称は何か？","電気通信大学学生会","電気通信大学学友会","電気通信大学自治会","電気通信大学生徒会",2,"基本則 第1章 第1条に「本会は電気通信大学学友会と称し」と記載されています。"
D-2,D,"学友会に1年次で加入する場合の会費はいくらか？","10,000円","15,000円","20,000円","5,000円",3,"学友会費に関する細則 第1条に「1年次加入 ・・・・・・20,000円」と記載されています。"
D-3,D,"学友会の最高責任者は誰か？","会計委員長","総会議長","執行委員長","サークル代表者会議議長",3,"基本則 第3章 第11条に「執行委員長は本会の最高責任者である」と記載されています。"
D-4,D,"学友会の最高の決議機関は何か？","執行委員会","会計委員会","サークル代表者会議","総会",4,"基本則 第2章 第7条に「総会は本会の最高の決議機関である」と記載されています。"
D-5,D,"学友会の目的として正しいものはどれか？","会員の就職活動の支援","会員の学業成績の向上","会員の大学生活の充実","大学運営への参画",3,"基本則 第1章 第2条に「本会は、本会会員の大学生活の充実を目的として運営されなければならない」と記載されています。"
D-6,D,"4年次で学友会に加入する場合の会費はいくらか？","20,000円","15,000円","10,000円","5,000円",4,"学友会費に関する細則 第1条に「4年次加入 ・・・・・・ 5,000円」と記載されています。"
D-7,D,"学友会誌の編集及び発行を行う機関はどれか？","執行委員会","群青編集委員会","新入生歓迎実行委員会","ネットワーク管理委員会",2,"機関における細則 第2条に「群青編集委員会 学友会誌の編集及び発行を行う」と記載されています。"
D-8,D,"調布祭の企画運営を行う機関はどれか？","執行委員会","群青編集委員会","調布祭実行委員会","新入生歓迎実行委員会",3,"機関における細則 第2条に「調布祭実行委員会 調布祭の企画運営を行う」と記載されています。"
D-9,D,"本会の収入源として、会則に定められていないものはどれか？","会費","寄付金","大学からの補助金","雑収益金",3,"基本則 第6章 第19条には「会費」「寄付金」「雑収益金」が定められていますが、「大学からの補助金」という直接の記載はありません。"
D-10,D,"学友会員であるための基本的な条件は何か？","本学の大学院生であること","本学の教職員であること","本学の学士課程の学生であること","本学の卒業生であること",3,"基本則 第1章 第3条に「本会の会員であるには本学の学士課程の学生であることを必要とする」と記載されています。"
